name,url,brand,price
Regenjacke Damen winddicht wasserabweisend Wandern - Raincut 1/2 Zip,https://www.decathlon.de/p/regenjacke-damen-winddicht-wasserabweisend-wandern-raincut-1-2-zip/_/R-p-134605?mc=8549506&c=blau,QUECHUA,"12,99 €"
FAHRRAD REGENJACKE CITY 120 DAMEN SICHTBARKEIT PSA-ZERTIFIZIERT NEONGELB,https://www.decathlon.de/p/fahrrad-regenjacke-city-120-damen-sichtbarkeit-psa-zertifiziert-neongelb/_/R-p-309395?mc=960307&c=gelb,BTWIN,"29,99 €"
Laufjacke Damen winddicht - Run 100 schwarz,https://www.decathlon.de/p/laufjacke-damen-winddicht-run-100/_/R-p-344411?mc=8817239&c=schwarz,KALENJI,"19,99 €"
3-in-1-Jacke Damen wasserdicht bis 0 °C - Travel 100 schwarz,https://www.decathlon.de/p/3-in-1-jacke-damen-wasserdicht-bis-0-c-travel-100/_/R-p-324287?mc=8583871&c=grau,FORCLAZ,"79,99 €"
Wanderjacke Damen wasserdicht Bergwandern - MH500 rot,https://www.decathlon.de/p/wanderjacke-damen-wasserdicht-bergwandern-mh500/_/R-p-307383?mc=8595740&c=braun_rot,QUECHUA,"69,99 €"
Daunenjacke Damen Kapuze bis -5 °C Trekking - MT100,https://www.decathlon.de/p/daunenjacke-damen-komfort-bis-5-c-mt100/_/R-p-167572?mc=8522066&c=gelb,FORCLAZ,"54,99 €"
Regenjacke Segeln Damen wasserdicht - Sailing 100 ocker,https://www.decathlon.de/p/regenjacke-segeln-damen-wasserdicht-sailing-100/_/R-p-169766?mc=8773436&c=gelb_braun,TRIBORD,"29,99 €"
Wattierte Jacke Damen mit Kapuze bis -5 °C Trekking - MT100 violett,https://www.decathlon.de/p/wattierte-jacke-trek-100-mit-kapuze-damen/_/R-p-312532?mc=8573844&c=schwarz,FORCLAZ,"39,99 €"
Wanderjacke Damen wasserdicht Naturwandern - NH550,https://www.decathlon.de/p/wanderjacke-naturwandern-nh550-wasserdicht-damen/_/R-p-150340?mc=8554653&c=gelb_braun,QUECHUA,"59,99 €"
Softshelljacke Segeln Damen Sailing 900 winddicht schwarz,https://www.decathlon.de/p/softshelljacke-segeln-damen-sailing-900-winddicht/_/R-p-308644?mc=8560955&c=schwarz,TRIBORD,"39,99 €"
Regenjacke Damen wasserdicht lang Wandern - Raincut,https://www.decathlon.de/p/regenjacke-lang-wandern-wasserdicht-raincut-damen/_/R-p-324641?mc=8589389&c=grün_braun,QUECHUA,"29,99 €"
Regenjacke Damen winddicht wasserabweisend Wandern - Raincut Full Zip,https://www.decathlon.de/p/regenjacke-damen-winddicht-wasserabweisend-wandern-raincut-full-zip/_/R-p-134585?mc=8383702&c=weiß,QUECHUA,"17,99 €"
Fahrrad Regenjacke RR 900 Damen ultralight wasserdicht,https://www.decathlon.de/p/fahrrad-regenjacke-rr-900-damen-ultralight-wasserdicht/_/R-p-145546?mc=8381000&c=schwarz,VAN RYSEL,"39,99 €"
Wanderjacke Damen wasserdicht - NH500,https://www.decathlon.de/p/wanderjacke-damen-wasserdicht-nh500/_/R-p-324569?mc=8797185&c=blau,QUECHUA,"39,99 €"
Softshelljacke Damen winddicht warm - MT500,https://www.decathlon.de/p/softshelljacke-damen-winddicht-warm-mt500/_/R-p-324212?mc=8580198&c=violett_schwarz,FORCLAZ,"59,99 €"
3-in-1-Jacke Damen bis -8 °C wasserdicht - Travel 500 schwarz,https://www.decathlon.de/p/3-in-1-jacke-travel-500-damen/_/R-p-144585?mc=8396864&c=rot_braun,FORCLAZ,"119,99 €"
Wattierte Weste Damen Trekking - MT100,https://www.decathlon.de/p/wattierte-weste-damen-trekking-mt100/_/R-p-312542?mc=8573838&c=schwarz,FORCLAZ,"29,99 €"
Regenjacke Segeln Damen wasserdicht winddicht - 300 marineblau,https://www.decathlon.de/p/regenjacke-segeln-damen-wasserdicht-winddicht-300/_/R-p-346834?mc=8801648&c=blau,TRIBORD,"49,99 €"
3-in-1-Jacke Damen wasserdicht bis -10 °C - Travel 700 khaki,https://www.decathlon.de/p/3-in-1-jacke-damen-bis-10-c-wasserdicht-travel-700/_/R-p-124745?mc=8344619&c=grün,FORCLAZ,"109,99 €"
Softshellweste Damen - Trek 500 dunkelblau,https://www.decathlon.de/p/softshellweste-damen-trek-500-dunkelblau/_/R-p-306968?mc=8550541&c=blau,FORCLAZ,"34,99 €"
Winterjacke Damen bis -10 °C wasserdicht Winterwandern - SH500 gelb,https://www.decathlon.de/p/winterjacke-damen-bis-10-c-wasserdicht-winterwandern-sh500/_/R-p-331299?mc=8641502&c=gelb_braun,QUECHUA,"39,99 €"
Spraytop Segeln/Kajak Damen winddicht - 500 blau,https://www.decathlon.de/p/spraytop-segeln-kajak-damen-winddicht-500/_/R-p-347164?mc=8841923&c=blau,TRIBORD,"39,99 €"
