name,url,brand,price,gender,category
Wanderjacke Herren wasserdicht leicht - MH500 schwarz,https://www.decathlon.de/p/wanderjacke-herren-leicht-wasserdicht-mh500/_/R-p-301681?mc=8612171&c=schwarz,QUECHUA,"99,99 €",herren,outdoor-jacken
Wanderjacke Herren wasserdicht leicht - MH900 schwarz,https://www.decathlon.de/p/wanderjacke-herren-wasserdicht-leicht-mh900/_/R-p-150330?mc=8382335&c=grau_schwarz,QUECHUA,"129,99 €",herren,outdoor-jacken
3-in-1-Jacke Herren bis 0 °C wasserdicht Backpacking - Travel 100 khaki,https://www.decathlon.de/p/3-in-1-jacke-herren-bis-0-c-wasserdicht-backpacking-travel-100/_/R-p-324152?mc=8580029&c=grün_braun,FORCLAZ,"59,99 €",herren,outdoor-jacken
Segeljacke Herren wasserdicht winddicht - 500 rot/gelb,https://www.decathlon.de/p/regenjacke-segeln-herren-wasserdicht-500/_/R-p-330038?mc=8773662&c=rot_gelb,TRIBORD,"109,99 €",herren,outdoor-jacken
Regenjacke Herren - Raincut Fullzip schwarz,https://www.decathlon.de/p/regenjacke-herren-raincut-fullzip/_/R-p-350837?mc=8844533&c=schwarz,QUECHUA,"17,99 €",herren,outdoor-jacken
Regenjacke Herren winddicht wasserabweisend 1/2 Zip Wandern - Raincut,https://www.decathlon.de/p/regenjacke-herren-winddicht-wasserabweisend-1-2-zip-wandern-raincut/_/R-p-5332?mc=8300326&c=schwarz,QUECHUA,"12,99 €",herren,outdoor-jacken
Softshellweste Herren winddicht Trekking - MT100 schwarz,https://www.decathlon.de/p/softshellweste-herren-winddicht-trekking-mt100-schwarz/_/R-p-338686?mc=8736490&c=schwarz,FORCLAZ,"29,99 €",herren,outdoor-jacken
Wanderjacke Herren wasserdicht - NH500,https://www.decathlon.de/p/wanderjacke-herren-wasserdicht-wandern-nh500/_/R-p-334354?mc=8650027&c=blau_braun,QUECHUA,"39,99 €",herren,outdoor-jacken
Wattierte Jacke Herren bis -5 °C Kapuze Trekking - MT100,https://www.decathlon.de/p/wattierte-jacke-herren-bis-5-c-kapuze-trekking-mt100/_/R-p-312478?mc=8573829&c=schwarz,FORCLAZ,"39,99 €",herren,outdoor-jacken
Segeljacke Herren wasserdicht winddicht - 100 blau/rot,https://www.decathlon.de/p/regenjacke-segeln-herren-wasserdicht-sailing-100/_/R-p-169764?mc=8678295&c=blau_rot,TRIBORD,"29,99 €",herren,outdoor-jacken
Softshelljacke Herren winddicht warm Bergwandern - MT100 khaki,https://www.decathlon.de/p/softshelljacke-herren-winddicht-warm-bergwandern-mt100/_/R-p-324176?mc=8580219&c=schwarz_grau,FORCLAZ,"49,99 €",herren,outdoor-jacken
3-in-1-Jacke Herren wasserdicht bis -10 °C - Travel 500 schwarz,https://www.decathlon.de/p/3-in-1-jacke-herren-bis-10-c-wasserdicht-travel-500/_/R-p-147553?mc=8540394&c=grau_schwarz,FORCLAZ,"129,99 €",herren,outdoor-jacken
Softshelljacke Herren winddicht warm Wandern - MT500 schwarz,https://www.decathlon.de/p/softshelljacke-herren-winddicht-warm-wandern-mt500/_/R-p-126125?mc=8370292&c=schwarz,FORCLAZ,"59,99 €",herren,outdoor-jacken
Segeljacke Herren wasserdicht - Offshore 900 rot,https://www.decathlon.de/p/segeljacke-herren-wasserdicht-offshore-900/_/R-p-325355?mc=8586596&c=rot_gelb,TRIBORD,"249,99 €",herren,outdoor-jacken
Softshelljacke Segeln Herren winddicht 900 khaki,https://www.decathlon.de/p/softshelljacke-segeln-herren-winddicht-900/_/R-p-302797?mc=8650772&c=grün,TRIBORD,"39,99 €",herren,outdoor-jacken
Regenjacke Raincut 1/2 Zip,https://www.decathlon.de/p/regenjacke-raincut-1-2-zip/_/R-p-352054?mc=8862313&c=schwarz,QUECHUA,"12,99 €",herren,outdoor-jacken
Wanderjacke Herren wasserdicht - NH550,https://www.decathlon.de/p/wanderjacke-herren-wasserdicht-nh550/_/R-p-312278?mc=8583201&c=blau,QUECHUA,"44,99 €",herren,outdoor-jacken
Jagd-Regenjacke Treemetic 500 geräuscharm Camouflage,https://www.decathlon.de/p/jagdjacke-regenjacke-500/_/R-p-172760?mc=8668330&c=grün_braun,SOLOGNAC,"49,99 €",herren,outdoor-jacken
Regenjacke Segeln Herren wasserdicht winddicht - Sailing 300 marineblau,https://www.decathlon.de/p/regenjacke-segeln-herren-wasserdicht-winddicht-sailing-300/_/R-p-346652?mc=8801145&c=blau,TRIBORD,"49,99 €",herren,outdoor-jacken
Winterjacke Herren wasserdicht warm -10°C Winterwandern - SH100 X-Warm,https://www.decathlon.de/p/winterjacke-herren-warm-bis-10-c-wasserdicht-sh500/_/R-p-331992?mc=8641924&c=grau,QUECHUA,"34,99 €",herren,outdoor-jacken
Jagdjacke / Regenjacke 500 grün,https://www.decathlon.de/p/jagdjacke-regenjacke-500/_/R-p-144362?mc=8367351&c=grün_braun,SOLOGNAC,"54,99 €",herren,outdoor-jacken
Softshelljacke Herren windwarm Bergwandern - MT500 blau,https://www.decathlon.de/p/softshelljacke-herren-windwarm-bergwandern-mt500-blau/_/R-p-348861?mc=8818078&c=blau,FORCLAZ,"69,99 €",herren,outdoor-jacken
Regenjacke 100 grün,https://www.decathlon.de/p/regenjacke-100/_/R-p-163412?mc=8771025&c=grün,SOLOGNAC,"34,99 €",herren,outdoor-jacken
