name,url,brand,price,main_category,sub_category,product_id
Tennisrucksack - S Team 19 L schwarz,https://www.decathlon.de/p/rucksack-schlagertasche-tennis-100-bp/_/R-p-157311?mc=8581375&c=schwarz,ARTENGO,"12,99 €",padel-tennis,padelausrustung,8581375
Tripack Padel-Ball Head,https://www.decathlon.de/p/tripack-padel-ball-head/_/R-p-X8397246?mc=8397246&c=gelb,HEAD,"12,99 €",padel-tennis,padelausrustung,8397246
Kinder Padelschläger - PR 110 light blau/gelb,https://www.decathlon.de/p/kinder-padelschlager-pr-110-light-blau-gelb/_/R-p-147378?mc=8372030&c=blau,KUIKMA,"24,99 €",padel-tennis,padelausrustung,8372030
Padelbälle Babolat Court ×3,https://www.decathlon.de/p/padelballe-babolat-court-×3/_/R-p-X8742584?mc=8742584,BABOLAT,"4,99 €",padel-tennis,padelausrustung,8742584
Rucksack Urban 25 L petrolblau,https://www.decathlon.de/p/rucksack-urban-25-l/_/R-p-350509?mc=8843530&c=blau_schwarz,KIPSTA,"29,99 €",padel-tennis,padelausrustung,8843530
Padelbälle mit Druck 3er-Schlauch - Head Padel Pro,https://www.decathlon.de/p/padelballe-mit-druck-3er-schlauch-head-padel-pro/_/R-p-X8397254?mc=8397254&c=gelb,HEAD,"5,99 €",padel-tennis,padelausrustung,8397254
Padelschläger Kuikma - PR Hybrid Carbon,https://www.decathlon.de/p/padelschlager-kuikma-pr-hybrid-carbon/_/R-p-341828?mc=8750070,KUIKMA,"129,99 €",padel-tennis,padelausrustung,8750070
Padelschläger Erwachsene Kuikma - Comfort Soft,https://www.decathlon.de/p/padelschlager-erwachsene-kuikma-comfort-soft/_/R-p-348617?mc=8817367&c=rot_weiß_schwarz,KUIKMA,"44,99 €",padel-tennis,padelausrustung,8817367
Padelschläger Kuikma - PR190 blau/grün,https://www.decathlon.de/p/padelschlager-kuikma-pr190/_/R-p-327586?mc=8601005&c=grün_gelb,KUIKMA,"39,99 €",padel-tennis,padelausrustung,8601005
Padelbälle Druckbälle PB Speed - Drei 3er-Dosen,https://www.decathlon.de/p/padelballe-druckballe-pb-speed-drei-3er-dosen/_/R-p-347273?mc=8804642,KUIKMA,"12,99 €",padel-tennis,padelausrustung,8804642
