,id,main_category,sub_category,product_name,brand,price,store_skuId,timestamp,store_storeId,store_storeName,store_quantity,store_availabilityInfo,store_clickNcollect1h
0,8502354.0,fahrrad-welt,fahrrad_sale,Rennrad Triban RC500 schwarz (Scheibenbremse),TRIBAN,699.99,2496981,2024-05-09 00:38:23.113166,0070072800728,Essen,0,False,False
40,8502354.0,fahrrad-welt,fahrrad_sale,Rennrad Triban RC500 schwarz (Scheibenbremse),TRIBAN,699.99,2496979,2024-05-09 00:38:23.113166,0070072800728,Essen,0,False,False
80,8502354.0,fahrrad-welt,fahrrad_sale,Rennrad Triban RC500 schwarz (Scheibenbremse),TRIBAN,699.99,2496978,2024-05-09 00:38:23.113166,0070072800728,Essen,0,False,False
120,8502354.0,fahrrad-welt,fahrrad_sale,Rennrad Triban RC500 schwarz (Scheibenbremse),TRIBAN,699.99,2496977,2024-05-09 00:38:23.113166,0070072800728,Essen,0,False,False
160,8502354.0,fahrrad-welt,fahrrad_sale,Rennrad Triban RC500 schwarz (Scheibenbremse),TRIBAN,699.99,2496980,2024-05-09 00:38:23.113166,0070072800728,Essen,0,False,False
200,8555876.0,fahrrad-welt,fahrrad_sale,"Mountainbike ST 530 S 27,5 Zoll schwarz/rot",ROCKRIDER,499.99,2940925,2024-05-09 00:38:23.113166,0070072800728,Essen,0,False,False
240,8555876.0,fahrrad-welt,fahrrad_sale,"Mountainbike ST 530 S 27,5 Zoll schwarz/rot",ROCKRIDER,499.99,2940924,2024-05-09 00:38:23.113166,0070072800728,Essen,0,False,False
280,8555876.0,fahrrad-welt,fahrrad_sale,"Mountainbike ST 530 S 27,5 Zoll schwarz/rot",ROCKRIDER,499.99,2940923,2024-05-09 00:38:23.113166,0070072800728,Essen,3,False,True
320,8555876.0,fahrrad-welt,fahrrad_sale,"Mountainbike ST 530 S 27,5 Zoll schwarz/rot",ROCKRIDER,499.99,2940926,2024-05-09 00:38:23.113166,0070072800728,Essen,1,False,False
360,8732272.0,fahrrad-welt,fahrrad_sale,E-Mountainbike E-Expl 520 Hardtail 29 Zoll gelb,ROCKRIDER,1699.0,4465400,2024-05-09 00:38:23.113166,0070072800728,Essen,0,False,False
400,8732272.0,fahrrad-welt,fahrrad_sale,E-Mountainbike E-Expl 520 Hardtail 29 Zoll gelb,ROCKRIDER,1699.0,4465401,2024-05-09 00:38:23.113166,0070072800728,Essen,0,False,False
440,8732272.0,fahrrad-welt,fahrrad_sale,E-Mountainbike E-Expl 520 Hardtail 29 Zoll gelb,ROCKRIDER,1699.0,4465402,2024-05-09 00:38:23.113166,0070072800728,Essen,0,False,False
480,8732272.0,fahrrad-welt,fahrrad_sale,E-Mountainbike E-Expl 520 Hardtail 29 Zoll gelb,ROCKRIDER,1699.0,4465403,2024-05-09 00:38:23.113166,0070072800728,Essen,0,False,False
520,8732272.0,fahrrad-welt,fahrrad_sale,E-Mountainbike E-Expl 520 Hardtail 29 Zoll gelb,ROCKRIDER,1699.0,5165161,2024-05-09 00:38:23.113166,0070072800728,Essen,0,False,False
560,8732272.0,fahrrad-welt,fahrrad_sale,E-Mountainbike E-Expl 520 Hardtail 29 Zoll gelb,ROCKRIDER,1699.0,5165162,2024-05-09 00:38:23.113166,0070072800728,Essen,0,False,False
600,8732272.0,fahrrad-welt,fahrrad_sale,E-Mountainbike E-Expl 520 Hardtail 29 Zoll gelb,ROCKRIDER,1699.0,5165163,2024-05-09 00:38:23.113166,0070072800728,Essen,0,False,False
640,8732272.0,fahrrad-welt,fahrrad_sale,E-Mountainbike E-Expl 520 Hardtail 29 Zoll gelb,ROCKRIDER,1699.0,5165164,2024-05-09 00:38:23.113166,0070072800728,Essen,0,False,False
680,8731616.0,camping,zelte,Familienzelt Stangenaufbau - Arpenaz 4.1 Fresh & Black 4 Personen in 1 Kabine,QUECHUA,199.99,4456574,2024-05-10 18:16:51.728974,0070072800728,Essen,11,False,True
927,8642422.0,camping,zelte,Dachzelt Fresh & Black - MH500 für 2 Personen,QUECHUA,1399.99,4274620,2024-05-10 18:16:51.728974,0070072800728,Essen,0,False,False
959,8492484.0,camping,zelte,Wurfzelt XL - 2 Seconds Fresh & Black für 3 Personen,QUECHUA,164.99,2556864,2024-05-10 18:16:51.728974,0070072800728,Essen,12,False,True
1206,8576111.0,camping,zelte,Campingzelt MH100 Fresh & Black für 3 Personen,QUECHUA,79.99,2963895,2024-05-10 18:16:51.728974,0070072800728,Essen,16,False,True
1454,8648382.0,camping,zelte,Familienzelt aufblasbar - Air Seconds 4.1 Fresh & Black für 4 Personen 1 Kabine,QUECHUA,419.99,4327055,2024-05-10 18:16:51.728974,0070072800728,Essen,5,False,True
1701,8641758.0,camping,zelte,Campingzelt Fresh & Black - MH100 XL für 3 Personen,QUECHUA,119.99,4271868,2024-05-10 18:16:51.728974,0070072800728,Essen,10,False,True
1947,8492687.0,camping,zelte,Wurfzelt 2 Seconds LTD Scout für 3 Personen braun/grün,QUECHUA,79.99,2558275,2024-05-10 18:16:51.728974,0070072800728,Essen,0,False,False
