name,main_category,sub_category,url,brand,price,sku_ids,product_id
Campingstuhl Klappstuhl mit Armlehnen,camping,campingmobel,https://www.decathlon.de/p/campingstuhl-faltbar/_/R-p-13372?mc=8852990,QUECHUA,"19,99 €",5075743;5075744;2918996;2918997,8852990
Campingstuhl klappbar gross - XL,camping,campingmobel,https://www.decathlon.de/p/campingstuhl-klappbar-basic-xl-gross/_/R-p-136825?mc=8852993,QUECHUA,"27,99 €",5075746;2961595,8852993
Campingstuhl klappbar - Komfort verstellbar Stahl,camping,campingmobel,https://www.decathlon.de/p/campingstuhl-komfort-klappbar-verstellbar-stahl/_/R-p-342646?mc=8881982&c=farblos,QUECHUA,"49,99 €",5204934,8881982
Campingstuhl niedriger Klappstuhl - MH500 grau,camping,campingmobel,https://www.decathlon.de/p/campingstuhl-niedriger-klappstuhl-mh500/_/R-p-173601?mc=8492643&c=grau_blau_grün,QUECHUA,"39,99 €",2558046;4899198;4899199,8492643
Campingtisch klappbar - 2–4 Personen,camping,campingmobel,https://www.decathlon.de/p/campingtisch-klappbar-2-4-personen/_/R-p-6330?mc=8750555&c=blau,QUECHUA,"27,99 €",4665781;2961624,8750555
Campingstuhl niedriger Klappstuhl MH500 XL,camping,campingmobel,https://www.decathlon.de/p/campingstuhl-niedriger-klappstuhl-mh500-xl/_/R-p-303229?mc=8512943&c=grau,QUECHUA,"54,99 €",2466767,8512943
Campingtisch niedrig klappbar - MH100 grau,camping,campingmobel,https://www.decathlon.de/p/campingtisch-mh100-niedrig-klappbar/_/R-p-6335?mc=8786306&c=grau,QUECHUA,"19,99 €",4767347,8786306
Küchenmöbel Camping klappbar,camping,campingmobel,https://www.decathlon.de/p/kuchenmobel-camping-klappbar/_/R-p-342247?mc=8750484&c=blau,QUECHUA,"99,99 €",4665130,8750484
Campingschrank faltbar und kompakt XL - Comfort,camping,campingmobel,https://www.decathlon.de/p/campingschrank-faltbar-und-kompakt-xl-comfort/_/R-p-342964?mc=8767220&c=schwarz_weiß_blau,QUECHUA,"89,99 €",4663536,8767220
Campingtisch klappbar mit 4 Hockern - 4‒6 Personen,camping,campingmobel,https://www.decathlon.de/p/campingtisch-klappbar-mit-4-hockern-4‒6-personen/_/R-p-351273?mc=8853007,QUECHUA,"69,99 €",5075837,8853007
Beinauflage Camping kompatibel mit unseren Campingstühlen,camping,campingmobel,https://www.decathlon.de/p/beinauflage-camping-kompatibel-mit-unseren-campingstuhlen/_/R-p-328122?mc=8603153&c=blau_beige,QUECHUA,"17,99 €",4129063;5075749,8603153
Campingtisch Klapptisch MH500 niedrig,camping,campingmobel,https://www.decathlon.de/p/campingtisch-klapptisch-mh500-niedrig/_/R-p-303250?mc=8512947&c=grau_blau_grün,QUECHUA,"49,99 €",2466777,8512947
Campingstuhl klappbar - Comfort,camping,campingmobel,https://www.decathlon.de/p/campingstuhl-klappbar-comfort/_/R-p-13369?mc=8852999,QUECHUA,"44,99 €",5075752;2962551,8852999
Campingtisch Klapptisch - 4 Personen,camping,campingmobel,https://www.decathlon.de/p/campingtisch-klapptisch-4-personen/_/R-p-303341?mc=8750560,QUECHUA,"44,99 €",4665791,8750560
Campingstuhl niedrig MH100 faltbar blau,camping,campingmobel,https://www.decathlon.de/p/campingstuhl-niedrig-mh100-faltbar/_/R-p-312927?mc=8576113&c=blau_grau,QUECHUA,"14,99 €",2963898;4226754,8576113
Sitzkissen Trekking MT500 Schaumstoff faltbar,camping,campingmobel,https://www.decathlon.de/p/sitzkissen-trekking-mt500-schaumstoff-faltbar/_/R-p-189397?mc=8493400&c=grau,FORCLAZ,"5,99 €",2562988,8493400
Campingtisch klappbar mit 4 Hockern 4-6 Personen,camping,campingmobel,https://www.decathlon.de/p/campingtisch-klappbar-mit-4-hockern/_/R-p-130208?mc=8750558,QUECHUA,"69,99 €",4665789,8750558
Küchenmöbel klappbar XL Camping,camping,campingmobel,https://www.decathlon.de/p/kuchenmobel-klappbar-xl-camping/_/R-p-334324?mc=8648928&c=grün,QUECHUA,"164,99 €",4332301,8648928
Campingschrank faltbar und kompakt - Basic,camping,campingmobel,https://www.decathlon.de/p/campingschrank-faltbar-und-kompakt-basic/_/R-p-326611?mc=864538&c=blau,QUECHUA,"59,99 €",4073788,864538
Küchenmöbel Camping Multifunktion Tepee,camping,campingmobel,https://www.decathlon.de/p/kuchenmobel-camping-multifunktion-tepee/_/R-p-326601?mc=960034&c=grün_beige,QUECHUA,"119,99 €",4073894,960034
Campingstuhl faltbar - Outwell Casilda schwarz,camping,campingmobel,https://www.decathlon.de/p/campingstuhl-faltbar-outwell-casilda-schwarz/_/R-p-X8834454?mc=8834454&c=schwarz_grau,OUTWELL,"59,99 €",5015653,8834454
Campinghocker mit drei Beinen,camping,campingmobel,https://www.decathlon.de/p/campinghocker-mit-drei-beinen/_/R-p-13373?mc=8786303&c=grau,QUECHUA,"8,99 €",4767344,8786303
Campingtisch klappbar höhenverstellbar - Easy Camp Menton M Bambus,camping,campingmobel,https://www.decathlon.de/p/campingtisch-klappbar-hohenverstellbar-easy-camp-menton-m-bambus/_/R-p-X8834461?mc=8834461&c=braun_grau,EASY CAMP,"54,99 €",5015677,8834461
Campingtisch klappbar - 6 bis 8 Personen,camping,campingmobel,https://www.decathlon.de/p/campingtisch-klappbar-6-8-personen/_/R-p-10858?mc=8750565,QUECHUA,"99,99 €",4665796,8750565
Campingstuhl Klappstuhl,camping,campingmobel,https://www.decathlon.de/p/campingstuhl-klappstuhl-basic/_/R-p-13366?mc=8852994,QUECHUA,"16,99 €",5075747;2970405,8852994
Bollerwagen klappbar für Familienzelt und Campingausrüstung,camping,campingmobel,https://www.decathlon.de/p/bollerwagen-klappbar-fur-familienzelt-und-campingausrustung/_/R-p-342540?mc=8753715&c=grau_beige,QUECHUA,"104,99 €",4640149,8753715
Camping-Küchenmöbel faltbar,camping,campingmobel,https://www.decathlon.de/p/camping-kuchenmobel-faltbar/_/R-p-310550?mc=8810708&c=grau_grün,QUECHUA,"74,99 €",4898926,8810708
Campingstuhl Klappstuhl Komfort Multiposition - Chill Meal,camping,campingmobel,https://www.decathlon.de/p/campingstuhl-klappstuhl-komfort-multiposition-chill-meal/_/R-p-326514?mc=8852997,QUECHUA,"99,99 €",5075750,8852997
Nachttisch Kompakt Camping,camping,campingmobel,https://www.decathlon.de/p/nachttisch-kompakt-camping/_/R-p-326577?mc=864559&c=blau,QUECHUA,"19,99 €",4073804,864559
Bollerwagen Trolley All Road für Familienzelt und Campingausrüstung,camping,campingmobel,https://www.decathlon.de/p/bollerwagen-trolley-all-road-fur-familienzelt-und-campingausrustung/_/R-p-329960?mc=8611651&c=grün,QUECHUA,"139,99 €",4190250,8611651
Campingstuhl klappbar - Outwell Blackpool Green Vineyard grün,camping,campingmobel,https://www.decathlon.de/p/campingstuhl-klappbar-outwell-blackpool-green-vineyard-grun/_/R-p-X8794274?mc=8794274&c=grün_grau,OUTWELL,"54,99 €",4838470,8794274
Stabilisierungsdecke für Campingstuhl MH500L,camping,campingmobel,https://www.decathlon.de/p/stabilisierungsdecke-fur-campingstuhl-mh500l/_/R-p-340946?mc=8759981&c=grau,QUECHUA,"7,99 €",4579105,8759981
Campingtisch kompakt Holzplatte Ablagefach - 4/6-Personen,camping,campingmobel,https://www.decathlon.de/p/campingtisch-kompakt-holzplatte-ablagefach-4-6-personen/_/R-p-351330?mc=8853029,QUECHUA,"119,99 €",5075886,8853029
Campingstuhl Komfort Klappstuhl,camping,campingmobel,https://www.decathlon.de/p/campingstuhl-komfort-klappbar/_/R-p-302890?mc=8853003,QUECHUA,"39,99 €",5075814;2962513,8853003
Camping-Spülbecken Grauwassertank Ablagefläche,camping,campingmobel,https://www.decathlon.de/p/camping-spulbecken-grauwassertank-ablageflache/_/R-p-350230?mc=8831528,QUECHUA,"84,99 €",4995867,8831528
Campingstuhl klappbar Johnny XL Camping Stuhl mit Getränkehalter,camping,campingmobel,https://www.decathlon.de/p/mp/qeedo/campingstuhl-klappbar-johnny-xl-camping-stuhl-mit-getrankehalter/_/R-p-25504539-060f-4fa1-baa0-97be7021b71c?mc=25504539-060f-4fa1-baa0-97be7021b71c_c251&c=grau,QEEDO,"39,90 €",3fd436ff-a08c-48fb-b74d-ac1c6ff6289b,25504539
Outwell Gresham Campingstuhl faltbar,camping,campingmobel,https://www.decathlon.de/p/outwell-gresham-campingstuhl-faltbar/_/R-p-X8895223?mc=8895223&c=schwarz_grau,OUTWELL,"179,99 €",5291607,8895223
Campinghocker Klapphocker grün,camping,campingmobel,https://www.decathlon.de/p/campinghocker-klapphocker-grun/_/R-p-350648?mc=8843764,QUECHUA,"11,99 €",5037264,8843764
Wüstensitz verstellbar - Desert 900 braun,camping,campingmobel,https://www.decathlon.de/p/wustensitz-verstellbar-desert-900-braun/_/R-p-307778?mc=8572900&c=braun_schwarz,FORCLAZ,"29,99 €",2887434,8572900
Campingstuhl XXL Johnny Jumbo aus stabilem Stahlgestänge bis 250 kg belastbar,camping,campingmobel,https://www.decathlon.de/p/mp/qeedo/campingstuhl-xxl-johnny-jumbo-aus-stabilem-stahlgestange-bis-250-kg-belastbar/_/R-p-053343fc-9141-4826-98c3-79e5ded398b0?mc=053343fc-9141-4826-98c3-79e5ded398b0_c251&c=grau,QEEDO,"69,90 €",02a20792-e2fc-4302-9495-f50240208486,053343
