name,main_category,sub_category,url,brand,price,sku_ids,product_id
Picknickdecke Komfort XL 210 × 170 cm grau,camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/picknickdecke-xl-170-×-210-cm/_/R-p-170112?mc=8789856,QUECHUA,"24,99 €",4785737,8789856
Picknickdecke Komfort 170 × 140 cm luxour,camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/picknickdecke-camping-140-×-170-cm/_/R-p-170111?mc=8789851&c=grau_blau,QUECHUA,"14,99 €",4785690;4785695;5066131,8789851
"Kochset 2,1 l Inox antihaftbeschichtet - MH500 für 2 Personen",camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/kochset-2-1-l-inox-antihaftbeschichtet-mh500-fur-2-personen/_/R-p-174678?mc=8492728&c=grau_blau,QUECHUA,"34,99 €",2558437,8492728
Kühlrucksack 30 l - NH100 Ice Compact,camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/kuhlrucksack-30-l-nh100-ice-compact/_/R-p-309970?mc=8560646&c=blau,QUECHUA,"34,99 €",2903183,8560646
"Kochset 3,5 l antihaftbeschichtet Inox MH500 für 4 Personen",camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/kochset-3-5-l-antihaftbeschichtet-inox-mh500-fur-4-personen/_/R-p-174679?mc=8492729&c=grau_blau,QUECHUA,"59,99 €",2558438,8492729
Kühlrucksack Ice Compact NH100 20 l blau,camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/kuhlrucksack-ice-compact-nh100-20-l/_/R-p-309889?mc=8618607&c=blau,QUECHUA,"24,99 €",4228041;4810167,8618607
Waschschüssel Camping faltbar - 8 Liter,camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/waschschussel-faltbar-camping-8-l/_/R-p-123205?mc=8576761&c=schwarz_blau,QUECHUA,"12,99 €",2969094,8576761
"Campingbecher MH150 Edelstahl 0,4 Liter",camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/campingbecher-mh150-edelstahl-0-4-liter/_/R-p-174671?mc=8492721&c=grau,QUECHUA,"4,99 €",2558429,8492721
Fleecedecke 150 × 130 cm,camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/fleecedecke-155-×-130-cm/_/R-p-155998?mc=8606450&c=grau,QUECHUA,"9,99 €",4181596,8606450
Kühltasche selbstaufblasend hält kühl bis zu 17 Stunden - 35 L,camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/kuhltasche-selbstaufblasend-halt-kuhl-bis-zu-17-stunden-35-l/_/R-p-310516?mc=8572258&c=grün,QUECHUA,"54,99 €",2957211,8572258
Kühltasche selbstaufblasend 25 L,camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/kuhltasche-selbstaufblasend-25-l/_/R-p-310479?mc=8572257&c=grün,QUECHUA,"44,99 €",2957210,8572257
Wasserkocher 1 l Inox Camping Outdoor - MH500,camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/wasserkocher-1-l-inox-camping-outdoor-mh500/_/R-p-302356?mc=8504347&c=grau,QUECHUA,"12,99 €",2480082,8504347
Campingkocher 1-flammig - Campingaz Bistro Plus,camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/campingkocher-1-flammig-campingaz-bistro-plus/_/R-p-X8746353?mc=8746353,CAMPINGAZ,"34,99 €",4604461,8746353
"Trinkflasche 0,8 l Ecozen® mit Schraubverschluss Wandern",camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/trinkflasche-0-8-l-ecozen-mit-schraubverschluss-wandern/_/R-p-345404?mc=8797897,QUECHUA,"2,99 €",4811503,8797897
Trinkblase Trekking 2 Liter - MT500,camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/trinkblase-trekking-2-liter-mt500/_/R-p-306516?mc=8542253,FORCLAZ,"14,99 €",2750074,8542253
Trinkblase Trekking - MT500 3 Liter,camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/trinkblase-trekking-mt500-3-liter/_/R-p-306517?mc=8542254&c=blau,FORCLAZ,"16,99 €",2750076,8542254
Besteckset Campingbesteck Kunststoff 3-teilig blau,camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/besteckset-campingbesteck-kunststoff-3-teilig/_/R-p-171676?mc=8386030&c=blau,QUECHUA,"1,99 €",2210295,8386030
Picknickdecke kompakt 146 × 120 cm,camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/picknickdecke-kompakt-146-×-120-cm/_/R-p-342358?mc=8750779&c=blau_grün,QUECHUA,"7,99 €",4666499,8750779
"Trinkflasche 0,8 l Schnellverschluss Ecozen® mit Wandern - blau",camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/trinkflasche-0-8-l-schnellverschluss-ecozen-mit-wandern/_/R-p-345452?mc=8798179,QUECHUA,"5,99 €",4813859;4813860,8798179
Karabiner für Besteck,camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/karabiner-fur-besteck/_/R-p-6871?mc=8207355&c=grau,QUECHUA,"0,99 €",1478489,8207355
"Kochset MH100 Inox Edelstahl 1 Person (1,1 L)",camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/kochset-mh100-inox-edelstahl-1-person-1-1-l/_/R-p-174674?mc=8492724&c=grau_blau,QUECHUA,"12,99 €",2558433,8492724
"Campingteller MH150 Edelstahl 0,45 Liter",camping,kochen-essen-trinken-camping,https://www.decathlon.de/p/campingteller-mh150-edelstahl-0-45-liter/_/R-p-159032?mc=8486873&c=grau,QUECHUA,"3,99 €",2552474,8486873
