name,main_category,sub_category,url,brand,price,sku_ids,product_id
Tauchringe beschwert 4 Stück bunt,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/tauchringe-beschwert-4-stuck/_/R-p-3803?mc=8545685&c=rosa_gelb_rot,NABAIJI,"7,99 €",2686141,8545685
Planschbecken Tidipool+ faltbar m. Transporttasche 120cm Durchmesser Kinder blau,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/planschbecken-tidipool-faltbar-m-transporttasche-120cm-durchmesser-kinder-blau/_/R-p-103732?mc=8576489&c=blau_türkis,NABAIJI,"22,99 €",2966484,8576489
"Planschbecken Tidipool faltbar Transporttasche 88,5 cm Durchmesser Kinder blau",wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/planschbecken-tidipool-faltbar-transporttasche-88-5-cm-durchmesser-kinder/_/R-p-3817?mc=8384558&c=blau_gelb,NABAIJI,"24,99 €",2195376;4466777,8384558
Schwimmnudel Schaumstoff 118 cm - blau,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/schwimmnudel-schaumstoff-118-cm/_/R-p-330027?mc=8612786&c=grün,NABAIJI,"2,99 €",4198617;4198619,8612786
Schwimmring Kinder aufblasbar 51 cm - rosa Blumen,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/schwimmring-51-cm-kinder-3-6-jahre-panda/_/R-p-3790?mc=8790023&c=rosa,NABAIJI,"3,99 €",4788483;4786662;4786665;5056636,8790023
Wasserball klein mit Noppen - rosa/gelb,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/wasserball-klein-mit-noppen/_/R-p-3806?mc=8732442&c=rosa_orange_gelb,WATKO,"4,99 €",4466775;4788515,8732442
Wasserball klein Schwimmbad grün,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/wasserball-klein-schwimmbad/_/R-p-3843?mc=8574694&c=grün,WATKO,"2,99 €",2923687,8574694
Planschbecken Tidipool faltbar 65cm - Basic orange,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/planschbecken-tidipool-faltbar-65cm-basic-orange/_/R-p-143069?mc=8358194&c=orange_rosa,NABAIJI,"12,99 €",2035866,8358194
Tauchbogen Aquaway 2 Stück 150 cm,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/tauchbogen-aquaway-2-stuck-150-cm/_/R-p-102480?mc=8590422,NABAIJI,"18,99 €",4064888,8590422
Schwimmnudel Schaumstoff 160 cm blau,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/schwimmnudel-schaumstoff-160-cm-blau/_/R-p-330006?mc=8612794&c=blau,NABAIJI,"4,99 €",4198630,8612794
Wasserball Grip rutschfest - blau,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/großer-wasserball/_/R-p-169378?mc=8891908,WATKO,"3,99 €",5264921,8891908
Tauchspiel Tiball Tasche + Netz + 3 Bälle,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/tauchspiel-tiball-netz-ball/_/R-p-308668?mc=8646136&c=orange_blau,NABAIJI,"24,99 €",4308180,8646136
Schwimmring aufblasbar Erwachsene/Kinder mit Griffen 92 cm,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/schwimmring-erwachsene-mit-griff-all-tropi-92-cm/_/R-p-164172?mc=8790040&c=grün,NABAIJI,"9,99 €",4788509;4788510;4788511;5056643,8790040
Wasserball Water Polo Grösse 3 - WP900,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/wasserball-water-polo-grosse-3-wp900/_/R-p-329543?mc=8608346&c=grün,WATKO,"17,99 €",4171558,8608346
"Wasserballtor aufblasbar 2,15 × 0,75 m - Watgoal 500",wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/wasserballtor-aufblasbar-2-15-×-0-75-m-watgoal-500/_/R-p-306572?mc=8542680&c=grau_rot,WATKO,"259,99 €",2710972,8542680
Verbindungsstück Schwimmnudel Schaumstoff gelb,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/schwimmnudel-schaumstoff-verbindungsstuck/_/R-p-3807?mc=8649526&c=gelb,NABAIJI,"4,99 €",4336617,8649526
Wasserspiel Sauggriffe Ticrawl zum Tauchenlernen,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/wasserspiel-sauggriffe-ticrawl-zum-tauchenlernen/_/R-p-170275?mc=8403761&c=rot_orange_gelb_grün,NABAIJI,"7,99 €",2398025,8403761
Wasserball Grip Mini - Street gelb,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/wasserball-grip-mini-street/_/R-p-337768?mc=8733751&c=gelb,WATKO,"2,49 €",4482772;4482774;4482776,8733751
Schildkröt Neopren Tauchset,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/schildkrot-neopren-tauchset/_/R-p-X8890761?mc=8890761,MTS,"14,99 €",5270460,8890761
Planschbecken Pool 183x 33 cm - Deep Dive,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/planschbecken-pool-183x-33-cm-deep-dive/_/R-p-X8621733?mc=8621733&c=weiß_blau,BESTWAY,"14,99 €",4257627,8621733
