name,main_category,sub_category,url,brand,price,sku_ids,product_id
"Fitness Band, Trainingsband Cross Training 25 kg",fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/fitness-band-trainingsband-cross-training-25-kg/_/R-p-187032?mc=8484820&c=gelb,CORENGTH,"11,99 €",2531586,8484820
Rudergerät D PM5 Concept 2,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/rudergerat-d-pm5-concept-2/_/R-p-X8361558?mc=8361558,CONCEPT 2,"1.164,99 €",2052983,8361558
Hantelset 2 × 3 kg - grau,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelset-2-×-3-kg-grau/_/R-p-130442?mc=8336581&c=grau,DOMYOS,"19,99 €",712811,8336581
Springseil mit Gummigriffen 3 m anpassbar - dunkelblau,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/springseil-500-gummi/_/R-p-309793?mc=8828273&c=blau,DOMYOS,"11,99 €",4975065;4975168;4975169;5101489;5101490;4975170;2901494,8828273
"Fitness Band, Trainingsband Crosstraining 15 kg",fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/fitness-band-trainingsband-crosstraining-15-kg/_/R-p-187031?mc=8484819&c=blau,CORENGTH,"7,99 €",2531585,8484819
Laufband Connected kompakt zusammenklappbar 10 % motorisierte Neigung - RUN500,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/laufband-connected-kompakt-zusammenklappbar-10-motorisierte-neigung-run500/_/R-p-306855?mc=8542707,DOMYOS,"699,99 €",2711064,8542707
Hantelset 20 kg,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelset-20-kg/_/R-p-7449?mc=8018574&c=schwarz,CORENGTH,"59,99 €",411314,8018574
Springseil 100,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/springseil-100/_/R-p-309765?mc=8560956&c=schwarz,DOMYOS,"5,99 €",2901492,8560956
Hantelbank 900 verstärkt Schrägbank Negativ-Bank,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelbank-900-verstarkt-schragbank-negativ-bank/_/R-p-342936?mc=8766093,CORENGTH,"149,99 €",4660463,8766093
Hantelset 2 × 2 kg - dunkelblau,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelset-2-×-2-kg-dunkelblau/_/R-p-130388?mc=8336573&c=blau,DOMYOS,"14,99 €",712792,8336573
"Hantelset 2 × 1,5 kg - bordeauxrot",fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelset-2-×-1-5-kg-bordeauxrot/_/R-p-130387?mc=8336572&c=violett,DOMYOS,"12,99 €",712790,8336572
Standboxsack aufblasbar Erwachsene,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/standboxsack-aufblasbar-erwachsene/_/R-p-308689?mc=8549542&c=schwarz_rot,OUTSHOCK,"69,99 €",2765680,8549542
Hantelscheibe Gusseisen 28 mm 5 kg,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelscheibe-gusseisen-28-mm-5-kg/_/R-p-348960?mc=8816725,CORENGTH,"12,99 €",4934746,8816725
Kraftstation geführte Last kompakt - Home Gym 900,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/kraftstation-gefuhrte-last-kompakt-home-gym-900/_/R-p-178181?mc=8484134,CORENGTH,"399,99 €",2526815,8484134
Hantelset 2 × 1 kg - grün,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelset-2-×-1-kg-grun/_/R-p-130386?mc=8336571&c=grün,DOMYOS,"9,99 €",712785,8336571
"Fitness Band, Trainingsband Crosstraining 45 kg",fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/fitness-band-trainingsband-crosstraining-45-kg/_/R-p-187034?mc=8484822&c=rot,CORENGTH,"17,99 €",2531588,8484822
Hantelscheibe gummiert mit Griffen - 10 kg 28 mm,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/hantelscheibe-gummiert-mit-griffen-10-kg-28-mm/_/R-p-173214?mc=8388223&c=schwarz,CORENGTH,"39,99 €",2228314,8388223
Crosstraining-Ringe aus Holz,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/crosstraining-ringe-aus-holz/_/R-p-341591?mc=8751180&c=schwarz,CORENGTH,"29,99 €",4581752,8751180
"Fitness Band, Trainingsband Crosstraining 35 kg",fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/fitness-band-trainingsband-crosstraining-35-kg/_/R-p-187033?mc=8484821&c=orange,CORENGTH,"14,99 €",2531587,8484821
Unterlegmatte DF920 4er-Pack,fitness,fitnessgerate-fur-zuhause,https://www.decathlon.de/p/unterlegmatte-df920-4er-pack/_/R-p-7742?mc=8224362&c=schwarz,DOMYOS,"19,99 €",1546601,8224362
