name,main_category,sub_category,url,brand,price,sku_ids,product_id
Trekkingrad 28 Zoll Riverside 320 TR Damen,fahrrad-welt,fahrrad_sale,https://www.decathlon.de/p/trekkingrad-28-zoll-riverside-320-tr-damen/_/R-p-X8653527?mc=8653527,RIVERSIDE,"369,99 €",4357005;4357006;4357007,8653527
Mountainbike Trekking ST 50 26 Zoll schwarz,fahrrad-welt,fahrrad_sale,https://www.decathlon.de/p/mountainbike-trekking-st-50-26-zoll-schwarz/_/R-p-310069?mc=8561304&c=schwarz,ROCKRIDER,"199,99 €",2896694;2896693;2896692,8561304
Rennrad Triban RC500 schwarz (Scheibenbremse),fahrrad-welt,fahrrad_sale,https://www.decathlon.de/p/rennrad-triban-rc500-schwarz-scheibenbremse/_/R-p-301728?mc=8502354&c=grau,TRIBAN,"699,99 €",2496981;2496979;2496978;2496977;2496980,8502354
"Mountainbike ST 530 S 27,5 Zoll schwarz/rot",fahrrad-welt,fahrrad_sale,https://www.decathlon.de/p/mountainbike-st-530-s-27-5-zoll-schwarz-rot/_/R-p-311716?mc=8555876&c=schwarz,ROCKRIDER,"499,99 €",2940925;2940924;2940923;2940926,8555876
"E-Mountainbike E-ST 500 Damen 27,5 Zoll lila Brose Drive C Alu 420Wh",fahrrad-welt,fahrrad_sale,https://www.decathlon.de/p/e-mountainbike-e-st-500-damen-27-5-zoll-lila-brose-drive-c-alu-420wh/_/R-p-334407?mc=8649307&c=violett,ROCKRIDER,"1.489,99 €",4335090;4335089;4335088,8649307
Cross Bike 28 Zoll Riverside 100 schwarz,fahrrad-welt,fahrrad_sale,https://www.decathlon.de/p/cross-bike-28-zoll-riverside-100-schwarz/_/R-p-335189?mc=8655166,RIVERSIDE,"179,99 €",4359309;4359310,8655166
Reiserad 29 Zoll Riverside Touring 920 Reifen Vittoria Terreno,fahrrad-welt,fahrrad_sale,https://www.decathlon.de/p/reiserad-29-zoll-riverside-touring-920-reifen-vittoria-terreno/_/R-p-332473?mc=8773290&c=grün_schwarz,RIVERSIDE,"1.539,99 €",4712638;4712639;4712640;4712641,8773290
"E-Mountainbike E-ST 500 27,5 Zoll Hardtail schwarz",fahrrad-welt,fahrrad_sale,https://www.decathlon.de/p/e-mountainbike-e-st-500-27-5-zoll-hardtail-schwarz/_/R-p-324286?mc=8654920&c=schwarz,ROCKRIDER,"1.489,99 €",4358546;4358545;4358544;4358547,8654920
Cross Bike 28 Zoll Riverside 500 nachtblau,fahrrad-welt,fahrrad_sale,https://www.decathlon.de/p/cross-bike-28-zoll-riverside-500/_/R-p-300777?mc=8577925&c=blau,RIVERSIDE,"349,99 €",2978745;2978744;2978743;2978746;4010122;4010121;4010120,8577925
"E-Mountainbike E-ST 900 Damen 27,5"" Plus türkis Brose Drive T Alu 500Wh",fahrrad-welt,fahrrad_sale,https://www.decathlon.de/p/e-mountainbike-e-st-900-damen-27-5-plus-turkis-brose-drive-t-alu-500wh/_/R-p-308514?mc=8554167&c=grün,ROCKRIDER,"1.589,99 €",2762034;2762033;2762032,8554167
Hardtail 29 Zoll E-MTB - E-Expl 520 blau,fahrrad-welt,fahrrad_sale,https://www.decathlon.de/p/e-mountainbike-e-expl-520-hardtail-29-zoll/_/R-p-337358?mc=8872755,ROCKRIDER,1.699 €,5165161;5165162;5165163;5165164;4465400;4465401;4465402;4465403,8872755
Mountainbike Cross Country Carbon- und Aluminiumrahmen XC 500 S grau,fahrrad-welt,fahrrad_sale,https://www.decathlon.de/p/mountainbike-cross-country-carbon-und-aluminiumrahmen-xc-500-s-grau/_/R-p-325050?mc=8614814&c=grau,ROCKRIDER,"1.489,99 €",4216488;4216487;4216486;4216489,8614814
Fahrradhelm City Fischer Urban PLUS Brooklyn anthrazit,fahrrad-welt,fahrrad_sale,https://www.decathlon.de/p/fahrradhelm-city-fischer-urban-plus-brooklyn-anthrazit/_/R-p-X8753457?mc=8753457,NO BRAND,"44,99 €",4653067;4653068,8753457
Trekkingrad 26 Zoll D4 X Herren/Jungen anthrazit/lime,fahrrad-welt,fahrrad_sale,https://www.decathlon.de/p/trekkingrad-26-zoll-d4-x-herren-jungen-anthrazit-lime/_/R-p-X8606765?mc=8606765,RIVERSIDE,"349,99 €",4174802;4174803;4174804;4174805,8606765
Trekkingrad 28 Zoll Riverside 740 TR Damen,fahrrad-welt,fahrrad_sale,https://www.decathlon.de/p/trekkingrad-28-zoll-riverside-740-tr-damen/_/R-p-X8653665?mc=8653665,RIVERSIDE,"799,99 €",4357625;4357626;4357661,8653665
Trekkingrad 28 Zoll Riverside 720 TR Herren,fahrrad-welt,fahrrad_sale,https://www.decathlon.de/p/trekkingrad-28-zoll-riverside-720-tr-herren/_/R-p-X8653543?mc=8653543,RIVERSIDE,"599,99 €",4357024;4357027;4357028,8653543
E-Mountainbike E-Expl 520 Hardtail 29 Zoll gelb,fahrrad-welt,fahrrad_sale,https://www.decathlon.de/p/e-mountainbike-e-expl-520-hardtail-29-zoll/_/R-p-337358?mc=8732272&c=orange_gelb,ROCKRIDER,1.699 €,4465400;4465401;4465402;4465403;5165161;5165162;5165163;5165164,8732272
E-Bike Trekkingrad 26/28 Zoll Original 920E,fahrrad-welt,fahrrad_sale,https://www.decathlon.de/p/e-bike-trekkingrad-26-28-zoll-original-920e/_/R-p-325430?mc=8586865,RIVERSIDE,"899,99 €",4030298;4030297,8586865
"Mountainbike ST 100 27,5 Zoll gelb",fahrrad-welt,fahrrad_sale,https://www.decathlon.de/p/mtb-st-100-27-5-zoll/_/R-p-192872?mc=8400336&c=gelb_blau,ROCKRIDER,"249,99 €",2369314;2369315;2369316;2369317;2369308;2369309;2369311;2369312,8400336
Cross Bike 28 Zoll Riverside 700 CTR Herren anthrazit,fahrrad-welt,fahrrad_sale,https://www.decathlon.de/p/cross-bike-28-zoll-riverside-700-ctr-herren-anthrazit/_/R-p-X8653547?mc=8653547,RIVERSIDE,"499,99 €",4357074;4357075;4357076,8653547
