name,main_category,sub_category,url,brand,price,sku_ids,product_id
Tauchringe beschwert 4 Stück bunt,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/tauchringe-beschwert-4-stuck/_/R-p-3803?mc=8545685&c=rosa_gelb_rot,NABAIJI,"7,99 €",2686141,8545685
Planschbecken Tidipool+ faltbar m. Transporttasche 120cm Durchmesser Kinder blau,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/planschbecken-tidipool-faltbar-m-transporttasche-120cm-durchmesser-kinder-blau/_/R-p-103732?mc=8576489&c=blau_türkis,NABAIJI,"22,99 €",2966484,8576489
"Planschbecken Tidipool faltbar Transporttasche 88,5 cm Durchmesser Kinder blau",wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/planschbecken-tidipool-faltbar-transporttasche-88-5-cm-durchmesser-kinder/_/R-p-3817?mc=8384558&c=blau_gelb,NABAIJI,"24,99 €",2195376;4466777;4788517,8384558
Wasserball klein Schwimmbad grün,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/wasserball-klein-schwimmbad/_/R-p-3843?mc=8574694&c=grün,WATKO,"2,99 €",2923687,8574694
Schwimmring Kinder aufblasbar 51 cm - rosa Blumen,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/schwimmring-51-cm-kinder-3-6-jahre-panda/_/R-p-3790?mc=8790023&c=rosa,NABAIJI,"3,99 €",4788483;4786662;4786665;5056636,8790023
Planschbecken Tidipool faltbar 65cm - Basic orange,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/planschbecken-tidipool-faltbar-65cm-basic-orange/_/R-p-143069?mc=8358194&c=orange_rosa,NABAIJI,"12,99 €",2035866,8358194
"Wasserballtor aufblasbar 2,15 × 0,75 m - Watgoal 500",wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/wasserballtor-aufblasbar-2-15-×-0-75-m-watgoal-500/_/R-p-306572?mc=8542680&c=grau_rot,WATKO,"259,99 €",2710972,8542680
Tauchbogen Aquaway 2 Stück 150 cm,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/tauchbogen-aquaway-2-stuck-150-cm/_/R-p-102480?mc=8590422,NABAIJI,"18,99 €",4064888,8590422
Wasserball Grip rutschfest - blau,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/großer-wasserball/_/R-p-169378?mc=8891908,WATKO,"3,99 €",5264921,8891908
Wasserball klein mit Noppen - rosa/gelb,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/wasserball-klein-mit-noppen/_/R-p-3806?mc=8732442&c=rosa_orange_gelb,WATKO,"4,99 €",4466775;4788515,8732442
Schwimmring aufblasbar Erwachsene/Kinder mit Griffen 92 cm,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/schwimmring-erwachsene-mit-griff-all-tropi-92-cm/_/R-p-164172?mc=8790040&c=grün,NABAIJI,"9,99 €",4788509;4788510;4788511;5056643,8790040
Wasserball Water Polo Grösse 3 - WP900,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/wasserball-water-polo-grosse-3-wp900/_/R-p-329543?mc=8608346&c=grün,WATKO,"17,99 €",4171558,8608346
Tauchspiel Tiball Tasche + Netz + 3 Bälle,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/tauchspiel-tiball-netz-ball/_/R-p-308668?mc=8646136&c=orange_blau,NABAIJI,"24,99 €",4308180,8646136
Wasserball Water Polo Grösse 4 - WP900,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/wasserball-water-polo-grosse-4-wp900/_/R-p-323698?mc=8578332&c=blau,WATKO,"24,99 €",2982044,8578332
Wasserball Water Polo Grösse 5 - WP900,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/wasserball-water-polo-grosse-5-wp900/_/R-p-323755?mc=8578509&c=rot,WATKO,"24,99 €",2983225,8578509
Wasserball Grip Mini - Street gelb,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/wasserball-grip-mini-street/_/R-p-337768?mc=8733751&c=gelb,WATKO,"2,49 €",4482772;4482774;4482776,8733751
Wasserball Grip groß - Street gelb,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/wasserball-grip-groß-street/_/R-p-337815?mc=8733744&c=gelb,WATKO,"4,99 €",4482748;4482749;4482751,8733744
Wasserspiel Sauggriffe Ticrawl zum Tauchenlernen,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/wasserspiel-sauggriffe-ticrawl-zum-tauchenlernen/_/R-p-170275?mc=8403761&c=rot_orange_gelb_grün,NABAIJI,"7,99 €",2398025,8403761
Schwimmnudel Schaumstoff 118 cm - blau,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/schwimmnudel-schaumstoff-118-cm/_/R-p-330027?mc=8612786&c=grün,NABAIJI,"2,99 €",4198617;4198619,8612786
Schwimmring Kinder aufblasbar 65 cm - transparent Palmen,wassersport-welt,pools-und-wasserspielzeug,https://www.decathlon.de/p/schwimmring-aufblasbar-65-cm-kinder-6-9-jahre/_/R-p-12194?mc=8732428&c=grau,NABAIJI,"8,99 €",4466736;4788493;5056640;4466734,8732428
