id,main_category,sub_category,product_name,brand,price,url,timestamp,store_aboveThreshold,store_address,store_availabilityInfo,store_clickNcollect1h,store_favoriteStore,store_latitude,store_longitude,store_optionId,store_originId,store_phoneNumber,store_priceId,store_quantity,store_quantityShowroom,store_replenishmentEndDate,store_replenishmentStartDate,store_securedStockLevel,store_skuId,store_storeId,store_storeName,store_storeSchedule,store_storeUrl
8789856,camping,kochen-essen-trinken-camping,Picknickdecke Komfort XL 210 × 170 cm grau,QUECHUA,"24,99 €",https://www.decathlon.de/p/picknickdecke-xl-170-×-210-cm/_/R-p-170112?mc=8789856,2024-06-13 21:00:00.710049,False,,inStock,True,False,0,0,,,,,59,0,,,1,4785737,0070156501565,Köln Marsdorf ,,
8789851,camping,kochen-essen-trinken-camping,Picknickdecke Komfort 170 × 140 cm luxour,QUECHUA,"14,99 €",https://www.decathlon.de/p/picknickdecke-camping-140-×-170-cm/_/R-p-170111?mc=8789851&c=grau_blau,2024-06-13 21:00:00.710049,False,,inStock,True,False,0,0,,,,,57,0,,,1,4785690,0070156501565,Köln Marsdorf ,,
8789851,camping,kochen-essen-trinken-camping,Picknickdecke Komfort 170 × 140 cm luxour,QUECHUA,"14,99 €",https://www.decathlon.de/p/picknickdecke-camping-140-×-170-cm/_/R-p-170111?mc=8789851&c=grau_blau,2024-06-13 21:00:00.710049,False,,inStock,True,False,0,0,,,,,47,0,,,1,4785695,0070156501565,Köln Marsdorf ,,
8789851,camping,kochen-essen-trinken-camping,Picknickdecke Komfort 170 × 140 cm luxour,QUECHUA,"14,99 €",https://www.decathlon.de/p/picknickdecke-camping-140-×-170-cm/_/R-p-170111?mc=8789851&c=grau_blau,2024-06-13 21:00:00.710049,False,,inStock,True,False,0,0,,,,,72,0,,,1,5066131,0070156501565,Köln Marsdorf ,,
8492728,camping,kochen-essen-trinken-camping,"Kochset 2,1 l Inox antihaftbeschichtet - MH500 für 2 Personen",QUECHUA,"34,99 €",https://www.decathlon.de/p/kochset-2-1-l-inox-antihaftbeschichtet-mh500-fur-2-personen/_/R-p-174678?mc=8492728&c=grau_blau,2024-06-13 21:00:00.710049,False,,inStock,True,False,0,0,,,,,45,0,,,1,2558437,0070156501565,Köln Marsdorf ,,
8560646,camping,kochen-essen-trinken-camping,Kühlrucksack 30 l - NH100 Ice Compact,QUECHUA,"34,99 €",https://www.decathlon.de/p/kuhlrucksack-30-l-nh100-ice-compact/_/R-p-309970?mc=8560646&c=blau,2024-06-13 21:00:00.710049,False,,inStock,True,False,0,0,,,,,42,0,,,1,2903183,0070156501565,Köln Marsdorf ,,
8492729,camping,kochen-essen-trinken-camping,"Kochset 3,5 l antihaftbeschichtet Inox MH500 für 4 Personen",QUECHUA,"59,99 €",https://www.decathlon.de/p/kochset-3-5-l-antihaftbeschichtet-inox-mh500-fur-4-personen/_/R-p-174679?mc=8492729&c=grau_blau,2024-06-13 21:00:00.710049,False,,inStock,True,False,0,0,,,,,24,0,,,1,2558438,0070156501565,Köln Marsdorf ,,
8618607,camping,kochen-essen-trinken-camping,Kühlrucksack Ice Compact NH100 20 l blau,QUECHUA,"24,99 €",https://www.decathlon.de/p/kuhlrucksack-ice-compact-nh100-20-l/_/R-p-309889?mc=8618607&c=blau,2024-06-13 21:00:00.710049,False,,inStock,True,False,0,0,,,,,70,0,,,1,4228041,0070156501565,Köln Marsdorf ,,
8618607,camping,kochen-essen-trinken-camping,Kühlrucksack Ice Compact NH100 20 l blau,QUECHUA,"24,99 €",https://www.decathlon.de/p/kuhlrucksack-ice-compact-nh100-20-l/_/R-p-309889?mc=8618607&c=blau,2024-06-13 21:00:00.710049,False,,noStock,False,False,0,0,,,,,0,0,,,1,4810167,0070156501565,Köln Marsdorf ,,
8576761,camping,kochen-essen-trinken-camping,Waschschüssel Camping faltbar - 8 Liter,QUECHUA,"12,99 €",https://www.decathlon.de/p/waschschussel-faltbar-camping-8-l/_/R-p-123205?mc=8576761&c=schwarz_blau,2024-06-13 21:00:00.710049,False,,inStock,True,False,0,0,,,,,26,0,,,1,2969094,0070156501565,Köln Marsdorf ,,
8492721,camping,kochen-essen-trinken-camping,"Campingbecher MH150 Edelstahl 0,4 Liter",QUECHUA,"4,99 €",https://www.decathlon.de/p/campingbecher-mh150-edelstahl-0-4-liter/_/R-p-174671?mc=8492721&c=grau,2024-06-13 21:00:00.710049,False,,inStock,True,False,0,0,,,,,272,0,,,1,2558429,0070156501565,Köln Marsdorf ,,
8606450,camping,kochen-essen-trinken-camping,Fleecedecke 150 × 130 cm,QUECHUA,"9,99 €",https://www.decathlon.de/p/fleecedecke-155-×-130-cm/_/R-p-155998?mc=8606450&c=grau,2024-06-13 21:00:00.710049,False,,inStock,True,False,0,0,,,,,20,1,,,1,4181596,0070156501565,Köln Marsdorf ,,
8572258,camping,kochen-essen-trinken-camping,Kühltasche selbstaufblasend hält kühl bis zu 17 Stunden - 35 L,QUECHUA,"54,99 €",https://www.decathlon.de/p/kuhltasche-selbstaufblasend-halt-kuhl-bis-zu-17-stunden-35-l/_/R-p-310516?mc=8572258&c=grün,2024-06-13 21:00:00.710049,False,,inStock,True,False,0,0,,,,,10,1,,,1,2957211,0070156501565,Köln Marsdorf ,,
8572257,camping,kochen-essen-trinken-camping,Kühltasche selbstaufblasend 25 L,QUECHUA,"44,99 €",https://www.decathlon.de/p/kuhltasche-selbstaufblasend-25-l/_/R-p-310479?mc=8572257&c=grün,2024-06-13 21:00:00.710049,False,,inStock,True,False,0,0,,,,,18,0,,,1,2957210,0070156501565,Köln Marsdorf ,,
8504347,camping,kochen-essen-trinken-camping,Wasserkocher 1 l Inox Camping Outdoor - MH500,QUECHUA,"12,99 €",https://www.decathlon.de/p/wasserkocher-1-l-inox-camping-outdoor-mh500/_/R-p-302356?mc=8504347&c=grau,2024-06-13 21:00:00.710049,False,,inStock,True,False,0,0,,,,,23,0,,,1,2480082,0070156501565,Köln Marsdorf ,,
8746353,camping,kochen-essen-trinken-camping,Campingkocher 1-flammig - Campingaz Bistro Plus,CAMPINGAZ,"34,99 €",https://www.decathlon.de/p/campingkocher-1-flammig-campingaz-bistro-plus/_/R-p-X8746353?mc=8746353,2024-06-13 21:00:00.710049,False,,inStock,True,False,0,0,,,,,29,0,,,1,4604461,0070156501565,Köln Marsdorf ,,
